Tenczyńska,50.0572850,19.9318935
Plac Na Groblach,50.0560298,19.9330664
Plac Szczepański,50.0634876,19.9352152
Świętego Tomasza,50.0644279,19.9347321
Jagiellońska,50.0613934,19.9339930
Ignacego Jana Paderewskiego,50.0665744,19.9414950
Floriana Straszewskiego,50.0612203,19.9320976
Astronomów,50.0532920,19.8276165
Do Obserwatorium,50.0535533,19.8266066
Zaułek Książąt Czartoryskich,50.0649026,19.9408240
Kukułcza,50.0594092,19.8627839
Biskupa Józefa Gawliny,50.0908171,19.9061371
Macieja Kalenkiewicza,50.0911482,19.9058795
Generała Tadeusza Pełczyńskiego,50.0942440,19.9075610
Alojzego Kaczmarczyka,50.0945027,19.9070947
Waleriana Tumanowicza,50.0932818,19.9074014
Owsiana,50.0933125,19.9149920
Palmowa,50.0894802,19.8811619
Budrysów,50.1005893,19.8831599
Szarotki,50.1002581,19.8807009
Kącik,50.0471881,19.9548763
Śliska,50.0394317,19.9413605
Biskupa Franciszka Hodura,50.0321072,19.9440546
Grzybki,50.0334292,19.9438684
Głogowska,50.0327055,19.9444982
Łagiewnicka,50.0344360,19.9434062
Sucha,50.0240299,19.9383244
Malutka,50.0268062,19.9391204
Harcerska,50.0245879,19.9409374
Juliana Goslara,50.0243605,19.9394132
Ferdynanda Kurasia,50.0257011,19.9382297
Włodarska,50.0252584,19.9405861
Lechicka,50.0244492,19.9370159
Pasieczna,50.0248425,19.9363750
Urocza,50.0263090,19.9388116
Harcmistrza Stanisława Millana,50.0178786,19.9427626
Siostry Faustyny,50.0193477,19.9403125
Ratajska,50.0213586,19.9394304
Strumienna,50.0206810,19.9440786
Sowia,50.0222450,19.9381443
Pocztowa,50.0204680,19.9394983
Jerzego Turowicza,50.0278215,19.9445967
Ogrodniki,50.0268118,19.9357338
Przy Torze,50.0267879,19.9376557
Na Grządkach,50.0271269,19.9369278
Mieszka I,50.0796012,19.9623342
Brogi,50.0799801,19.9611727
Henryka Wieniawskiego,50.0795122,19.9690171
Kanonierów,50.0810735,19.9664227
Dobra,50.0799133,19.9639541
Bolesława Chrobrego,50.0757917,19.9614953
Droga nad Białuchą,50.0746247,19.9638137
Kąpielowa,49.9992353,19.9208178
Kazimierza Moszyńskiego,49.9911718,19.9309576
Cechowa,50.0047230,19.9631355
Mirosława Krzyżańskiego,49.9725481,19.9471784
Stanisława Stojałowskiego,50.0054446,19.9444947
Ptasia,50.0778996,19.9649861
Artura Malawskiego,50.0826160,19.9644894
Jaśminowa,50.0808743,19.9648399
Partyzantów,50.0803839,19.9643728
Andrzeja Sokołowskiego,50.0791708,19.9682055
Piękna,50.0795475,19.9677792
Wileńska,50.0812100,19.9557663
Czerwonego Prądnika,50.0803793,19.9577632
Domki,50.0753847,19.9591209
Księdza Ignacego Jana Skorupki,50.0759378,19.9596988
Na Wiankach,50.0768055,19.9611189
Ludwika Idzikowskiego,50.0770124,19.9601004
Władysława Jaworskiego,50.0763643,19.9605731
Ignacego Łukasiewicza,50.0753931,19.9651372
Zielone Wzgórze,50.1072160,19.9337277
Saperów,50.0793989,19.9640718
Szwoleżerów,50.0795124,19.9633195
Józefa Rostafińskiego,50.0684482,19.9050168
Na Gródku,50.0608042,19.9420857
Batowicka,50.1027794,19.9774034
Ostatnia,50.0698587,19.9776176
Tadeusza Pawlikowskiego,50.0674941,19.9272192
Koletek,50.0521421,19.9388570
Świętej Agnieszki,50.0528501,19.9402088
Sukiennicza,50.0513225,19.9379340
Ludwinowska,50.0428112,19.9354530
Plac Emila Serkowskiego,50.0430885,19.9434016
Przedwiośnie,50.0419545,19.9379451
Orawska,50.0408801,19.9383554
Spiska,50.0417498,19.9388736
Ignacego Krasickiego,50.0401484,19.9396133
Generała Tadeusza Kutrzeby,50.0409790,19.9409412
Stanisława Smolki,50.0417425,19.9421509
Tadeusza Czackiego,50.0410610,19.9370721
Szaflarska,50.0412518,19.9375348
Władysława Warneńczyka,50.0425619,19.9457411
Augustyna Kordeckiego,50.0496940,19.9376686
Librowszczyzna,50.0591168,19.9456446
Mikołaja Zyblikiewicza,50.0604854,19.9442564
Bonerowska,50.0590899,19.9465512
Blich,50.0593381,19.9481319
Marii Skłodowskiej-Curie,50.0628505,19.9459407
Podbrzezie,50.0527925,19.9441984
Berka Joselewicza,50.0539720,19.9453737
Bożego Ciała,50.0492447,19.9444969
Trynitarska,50.0474959,19.9444271
Bonifraterska,50.0479655,19.9449975
Mostowa,50.0480982,19.9456219
Bocheńska,50.0486939,19.9457040
Miodowa,50.0517875,19.9427049
Estery,50.0524682,19.9449364
Plac Nowy,50.0518299,19.9447978
Nowa,50.0510337,19.9448315
Szeroka,50.0528501,19.9477751
Lewkowa,50.0523756,19.9477695
Adama Chmielowskiego,50.0462818,19.9420612
Augustiańska,50.0480094,19.9423886
Paulińska,50.0498836,19.9400982
Świętej Katarzyny,50.0499396,19.9420890
Skałeczna,50.0493508,19.9423981
Piekarska,50.0481774,19.9408957
Wojciecha Bogusławskiego,50.0561632,19.9424239
Wrzesińska,50.0568247,19.9469847
Michała Siedleckiego,50.0543310,19.9527695
Księdza Franciszka Blachnickiego,50.0553061,19.9539456
Halicka,50.0513025,19.9523628
Przemyska,50.0518930,19.9510209
Rzeszowska,50.0528080,19.9499705
Węgłowa,50.0487622,19.9426334
Józefa Sarego,50.0565260,19.9425939
Skwerowa,50.0510076,19.9236232
Dębowa,50.0476187,19.9269010
Konfederacka,50.0484174,19.9283246
Edmunda Wasilewskiego,50.0489928,19.9286853
Zduńska,50.0507431,19.9297695
Powroźnicza,50.0521399,19.9289244
Zamkowa,50.0521247,19.9309225
Sandomierska,50.0517369,19.9309620
Jaworowa,50.0486537,19.9201858
Biała Droga,50.0490896,19.9209470
Dębnicka,50.0484176,19.9222598
Flisacka,50.0524826,19.9182341
Marcina Borelowskiego-Lelewela,50.0540282,19.9234068
Józefa Kałuży,50.0577728,19.9228541
Senatorska,50.0552381,19.9209473
Józefa Ignacego Kraszewskiego,50.0559473,19.9190967
Juliana Fałata,50.0565747,19.9161077
